;companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
3308;1217234.0;40076000.0;;12247000.0;46000.0;;;46000.0;;;;28144000.0;55638000.0;26144000.0;;-1.16;;0.0
3309;1218683.0;-1385000.0;;-573000.0;;;;;;;;;700000.0;;-1000.0;;;0.0
3310;1219601.0;;;;;;62000000.0;;;;;;10020000000.0;;;2.85;;1.0
3311;1220754.0;1671450000.0;;73616000.0;4894000.0;;;7600000.0;93461000.0;;;1695446000.0;1053976000.0;686268000.0;20234000.0;4.3;;1.0
3312;1221554.0;750827.0;;;;;768893.0;;;;;;57779.0;;3749.0;0.0;;0.0
3313;1222218.0;;;386814.0;;;;180000.0;;;;;318100.0;;15731.0;-0.04;;0.0
3314;1222333.0;114110000.0;;;;;;;;;;;24620671000.0;8501000.0;;-11.1;;0.0
3315;1222840.0;;;50657000.0;;;;;;115646000.0;;603960000.0;4621251000.0;2465914000.0;;;;0.0
3316;1223389.0;;;;;;;;;;;1613178000.0;2025300000.0;1487019000.0;22706000.0;0.88;;1.0
3318;1223786.0;;;3338000.0;0.0;;;;;;;;360490000.0;;;1.68;;0.0
3319;1223862.0;264419000.0;;37110000.0;;227712000.0;;16629000.0;199000.0;;238994000.0;;459267000.0;184115000.0;6700000.0;;;0.0
3320;1224133.0;;;18510000.0;220000.0;;;;;-597000.0;;143013000.0;204992000.0;17526000.0;;;;0.0
3321;1224608.0;;;;6300000.0;19882900000.0;;;;;;3811900000.0;31125100000.0;26986600000.0;;1.4;;1.0
3322;1226308.0;134841000.0;;;;;;;53955000.0;;123132000.0;138209000.0;407940000.0;;4131000.0;-0.71;;0.0
3323;1226616.0;8822386.0;;5805217.0;0.0;;;;;;;;37906323.0;5153349.0;26704.0;;;0.0
3324;1227025.0;95128000.0;;31635000.0;;70249000.0;;1178000.0;1443000.0;;99081000.0;;341878000.0;130222000.0;17700000.0;0.1;;1.0
3325;1227265.0;56173898.0;;;;;;;;;;;1108286781.0;17587400.0;;;;0.0
3326;1227268.0;3558186.0;;;;;;;;;;;55275882.0;1003812.0;;;;0.0
3327;1227500.0;;;;;130810000.0;;;243000.0;;;;1585727000.0;1418494000.0;;1.55;;0.0
3328;1227654.0;;;;2500000.0;;6300000.0;2500000.0;;;330100000.0;;1628900000.0;;;4.7;;1.0
3329;1228386.0;21857.0;;21857.0;;;;;;-21857.0;;;463.0;166288.0;;;;0.0
3330;1228454.0;;;;;;;;;;;;1618406000.0;1484862000.0;;0.69;;0.0
3331;1228627.0;18263436.0;0.0;6115210.0;708617.0;13240086.0;;708617.0;;;;;24805029.0;6029481.0;;;;0.0
3332;1229146.0;;;;0.0;5340743.0;;;;;;;257776555.0;219105585.0;;0.81;;0.0
3333;1230245.0;;;;1856000.0;;;;;52075000.0;;696317000.0;2138518000.0;1305698000.0;5058000.0;3.34;;0.0
3334;1230276.0;636693000.0;;153943000.0;;;;5156000.0;19439000.0;;466702000.0;;1240657000.0;497270000.0;20400000.0;;;1.0
3335;1230524.0;;;65283.0;;;;;;;;;10000.0;;3225.0;;;0.0
3336;1232524.0;816583000.0;;;;988785000.0;;32982000.0;561113000.0;;;1324803000.0;3359663000.0;;9894000.0;5.38;;1.0
3337;1232582.0;;;14310000.0;;;;;10358000.0;270939000.0;;1336966000.0;4965131000.0;4034826000.0;210100000.0;2.43;;1.0
3338;1234006.0;50965000.0;;2094000.0;;;;;33997000.0;;;;833322000.0;599451000.0;;-0.07;;0.0
3339;1235007.0;42042937.0;;15733462.0;379290.0;;;379290.0;;;;70000.0;178385577.0;7039440.0;886710.0;-0.98;;0.0
3340;1235010.0;174084000.0;;48051000.0;;288583000.0;;;;;;89650000.0;421040000.0;51064000.0;;;;0.0
3341;1235468.0;;;41418000.0;106000.0;;;;;;;;288488000.0;72486000.0;6130000.0;-3.5;;0.0
3342;1236275.0;10485746.0;;5635571.0;;;14817.0;;1022409.0;;10843534.0;;8483549.0;6927228.0;;0.09;;1.0
3343;1236997.0;13923167.0;;3373674.0;;;;;;;;11081358.0;12966131.0;3861647.0;7225.0;-0.61;;0.0
3344;1237746.0;263094000.0;0.0;90968000.0;2224000.0;;;2224000.0;72000000.0;;316280000.0;741315000.0;1803490000.0;1623816000.0;34010000.0;;;0.0
3345;1237831.0;239728000.0;0.0;;5477000.0;;;5477000.0;3052000.0;;411950000.0;;834100000.0;118776000.0;22522000.0;1.19;;0.0
3346;1238289.0;;;168000.0;;;;;;;-280100.0;;2613100.0;;;;;0.0
3347;1239819.0;22750258.0;0.0;;;;;;3685101.0;;16500663.0;;58131813.0;21224795.0;1200000.0;;;1.0
3348;1244937.0;342501000.0;0.0;110267000.0;1077000.0;;;1077000.0;;;154533000.0;399584000.0;443714000.0;;24322000.0;-6.51;;0.0
3349;1245104.0;;;4554165.0;;;;;;;;6457733.0;11506141.0;8517741.0;;;;0.0
3350;1245791.0;30099000.0;0.0;8391000.0;2000.0;;;78000.0;;;-4407000.0;1316000.0;21782000.0;;;;;0.0
3351;1250897.0;224474.0;;224474.0;;;;;;;;0.0;13218.0;;288.0;;;0.0
3352;1251769.0;12460121.0;;3946147.0;47678.0;;;47678.0;;;;1599763.0;11612445.0;1080454.0;;;;0.0
3353;1252849.0;461485000.0;;29683000.0;;;;;;;;566065000.0;4678118000.0;2063924000.0;131490000.0;0.36;;1.0
3354;1253317.0;;;;;194705675.0;;;;;;;1510088889.0;1366100000.0;2134286.0;0.98;;1.0
3355;1253347.0;112487.0;;;;;;;;;;898036.0;1144614.0;1040933.0;944765.0;-0.1;;0.0
3356;1253689.0;;;7805396.0;;;;;;;;20070750.0;48462279.0;7990625.0;191484.0;;;0.0
3357;1253986.0;74067324.0;;;;2022030.0;;;;;;;1827391944.0;1262301169.0;;0.9;;0.0
3358;1254595.0;216738000.0;;25450000.0;26000.0;;;26000.0;5120000.0;;109008000.0;;1450371000.0;796230000.0;;;;1.0
3359;1254699.0;1940000000.0;;;;;58000000.0;;;;3215000000.0;;12058000000.0;7940000000.0;134000000.0;;;0.0
3360;1255474.0;;0.0;172616000.0;3048000.0;;62661000.0;3048000.0;;;;2050798000.0;11389085000.0;6630497000.0;;-11.35;;1.0
3361;1257640.0;;;;;;200000.0;;;;192300000.0;;1242700000.0;;;;;0.0
3362;1258602.0;469217000.0;;;;;;;20087000.0;;;0.0;30485905000.0;28593747000.0;16500000.0;;;0.0
3363;1259515.0;82355000.0;;17355000.0;1360000.0;;;1360000.0;;;81534000.0;163179000.0;141863000.0;26418000.0;2926000.0;-0.07;;1.0
3364;1260221.0;;0.0;;61674000.0;;65247000.0;61687000.0;;;1449845000.0;;8427050000.0;9465356000.0;35939000.0;;;1.0
3365;1260968.0;;;;586000.0;;;586000.0;;;;;772984000.0;622846000.0;;1.25;;0.0
3366;1260990.0;21841000.0;;8234000.0;;;;;;;;;32031000.0;;27000.0;-0.13;;0.0
3367;1261159.0;5451000.0;;15635000.0;;;;;3271000.0;-149362000.0;;337665000.0;1030859000.0;224680000.0;;;;1.0
3368;1261249.0;33089000.0;;7467000.0;593000.0;;;593000.0;;;;;50712000.0;;18000.0;;;0.0
3369;1261379.0;18513567.0;;;;;;;;;;;246914890.0;6730591.0;;;;0.0
3370;1261654.0;371897000.0;;;;;;;;;;;274302000.0;160827000.0;16500000.0;-0.38;;0.0
3371;1261694.0;;;;8995000.0;359860000.0;;;15365000.0;117117000.0;;273300000.0;539352000.0;;;2.26;;0.0
3372;1262039.0;707614000.0;;71514000.0;;;;;;;722491000.0;;1790510000.0;1035133000.0;28400000.0;0.05;;0.0
3373;1262823.0;;0.009000000000000001;;1063000.0;568225000.0;;;;;1185191000.0;108354000.0;5575252000.0;2013321000.0;209271000.0;4.88;;0.0
3374;1262959.0;;;6635000.0;;;;;;;;;2183731000.0;1121180000.0;;;;0.0
3375;1263364.0;2686241.0;;1884720.0;;;;;16244.0;;2231681.0;;7140577.0;;343439.0;;;0.0
3376;1263762.0;;0.0;;821000.0;80709000.0;;821000.0;9000.0;;;;817015000.0;712313000.0;1000000.0;0.56;;1.0
3377;1263872.0;;;;;;;;;;9000.0;;114681.0;234373.0;0.0;;;0.0
3378;1264587.0;38287519.0;;8828843.0;725017.0;;;725017.0;;-37243861.0;;;98215623.0;10103667.0;153797.0;;;0.0
3379;1265107.0;;;;;;18226000.0;;;;;;2070267000.0;1869202000.0;10066000.0;;;1.0
3380;1265131.0;;;;;673706000.0;;;16649000.0;;;;11867001000.0;10128876000.0;;2.1;;0.0
3381;1265572.0;;;12612000.0;;;;;;;;;101844000.0;39153000.0;;-0.4;;0.0
3382;1265848.0;33159.0;;826.0;;;;;;;;;10217.0;;;;;0.0
3383;1265888.0;;;118648000.0;9915000.0;;7190000.0;15482000.0;146600000.0;175462000.0;;;2202247000.0;1478748000.0;56100000.0;3.21;;1.0
3384;1266806.0;23704000.0;0.0;8223000.0;2883000.0;;;2782000.0;;;3657000.0;8950000.0;28245000.0;;;;;0.0
3385;1267130.0;;0.0;;;83767000.0;15212000.0;;;;;3997702000.0;8472503000.0;;;2.7;;1.0
3386;1267238.0;;;;;;;;;;;10325494000.0;30043128000.0;25519161000.0;47439000.0;2.08;;0.0
3387;1267395.0;;;360100000.0;;6114000000.0;;;;322300000.0;;2753400000.0;11048800000.0;7628900000.0;;4.64;;1.0
3388;1267425.0;7830322.0;;60393.0;;;;;;;;45334.0;3656528.0;6922553.0;;;;0.0
3389;1267565.0;26907000.0;;18932000.0;517000.0;;29000.0;517000.0;;;;;97718000.0;12646000.0;171000.0;;;0.0
3390;1267602.0;59675000.0;;14190000.0;571000.0;;333000.0;571000.0;12849000.0;;20676000.0;22438000.0;70484000.0;;614000.0;;;1.0
3391;1267813.0;;;5516000.0;373000.0;;;373000.0;;;;0.0;59662000.0;12741000.0;;;;1.0
3392;1269021.0;239245000.0;;;;444983000.0;;11111000.0;;;;;502924000.0;72601000.0;;;;0.0
3393;1269026.0;25244000.0;;6436000.0;;;222000.0;11589000.0;834000.0;;13203000.0;;36454000.0;;1652000.0;;;1.0
3394;1269127.0;6583829.0;;;;;695935.0;;1967.0;15808296.0;6289674.0;;6951039.0;15347879.0;;0.51;;0.0
3395;1269190.0;7728655.0;;;;;;;;;;;97470590.0;3141949.0;;;;0.0
3396;1270073.0;;;103745000.0;6713000.0;595313000.0;;6713000.0;;;;;655758000.0;53609000.0;1691000.0;;;0.0
3397;1270200.0;61000.0;0.0;;;;;;;;101000.0;188000.0;162000.0;;;;;0.0
3398;1270436.0;;;;;;;;;;;46156000.0;308825000.0;262649000.0;733000.0;-0.28;;1.0
3399;1271024.0;;;478734000.0;;;;21686000.0;20904000.0;;;2990911000.0;7011199000.0;2515746000.0;285800000.0;-1.29;;0.0
