companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
1275187.0;173298000.0;;29603000.0;1300000.0;;;1297000.0;;;174316000.0;;727063000.0;219835000.0;8200000.0;-1.21;;0.0
1275229.0;;;8703000.0;;;;;;;;;346475000.0;55808000.0;;;;0.0
1275283.0;;;;;;;;183000000.0;3253000000.0;;;53224000000.0;;104000000.0;2.57;;1.0
1275477.0;;;;;;;;;;;;177055425.0;108515365.0;;;;0.0
1276187.0;;;;;;519000000.0;;;1093000000.0;;42126000000.0;71189000000.0;;1776000000.0;;;1.0
1276520.0;;;;;58507000000.0;;;;-208000000.0;;8548000000.0;106431000000.0;91794000000.0;;-1.24;;1.0
1276531.0;422831.0;;;;;;;;;;;572685.0;;;;;0.0
1276591.0;38846000.0;;;3000.0;;;3000.0;;;1003000.0;;45718000.0;44270000.0;1000000.0;;;1.0
1277856.0;277447000.0;;;1107000.0;;6094000.0;;15304000.0;;417364000.0;1200301000.0;1327003000.0;957210000.0;82800000.0;1.5;;1.0
1277902.0;73952000.0;;;-448000.0;70256000.0;;-448000.0;368000.0;;;;1384476000.0;1269764000.0;2000000.0;0.78;;1.0
1278021.0;155198000.0;0.011000000000000001;13008000.0;1824000.0;84706000.0;;1824000.0;;96037000.0;;303098000.0;439041000.0;48328000.0;;2.62;;0.0
1278027.0;;;;;;5700000.0;;;;289564000.0;;2571715000.0;2114030000.0;17400000.0;1.22;;1.0
1279363.0;13554100000.0;;;300000.0;336200000.0;;300000.0;34100000.0;;1669000000.0;13890200000.0;5193600000.0;3465300000.0;62000000.0;2.69;;0.0
1279620.0;2541860.0;;274797.0;;;;;;;;1395294.0;9088381.0;3347823.0;6413.0;;;0.0
1279704.0;;0.0;3395360.0;;;;0.0;;;;;7596379.0;5946576.0;;;;1.0
1279715.0;8585000.0;;;;157000.0;;;426000.0;-2421000.0;;6025000.0;16283000.0;1944000.0;15000.0;;;0.0
1280058.0;286597000.0;;76084000.0;32000.0;;;;;;333309000.0;637940000.0;1223853000.0;1013265000.0;18500000.0;0.56;;1.0
1280263.0;120665000.0;0.0;;;;;5176000.0;;;205344000.0;316373000.0;410615000.0;61159000.0;;2.42;;0.0
